label,prompt,n_positive,auc,ci_lower,ci_upper
Cardiomegaly,enlarged cardiac silhouette,1069,0.8317008319414545,0.8188583946789969,0.8449771010775792
Consolidation,dense opacity,1815,0.6221773139490459,0.6085386806337632,0.6349103960651356
Edema,Edema,925,0.7645242399822966,0.7500089241019284,0.7793114873284205
Effusion,pleural effusion,4658,0.759086652389792,0.7505652777462922,0.7674566084429734
Emphysema,emphysematous changes,1093,0.43384866229224894,0.41729112272432645,0.44887448314512773
Fibrosis,reticular interstitial opacities,435,0.5038566828523815,0.47262133711864146,0.5344489123641551
Infiltration,infiltrate,6112,0.6010937560097411,0.5913178171125386,0.6106144073195569
Nodule,a chest x-ray with a nodule,1623,0.5552847186086035,0.5387985750011458,0.5704525804456352
Pneumothorax,Pneumothorax,2665,0.6616041426480521,0.6498026755007891,0.6730909342649615
