label,prompt,n_positive,auc,ci_lower,ci_upper
Cardiomegaly,Cardiomegaly,1069,0.8250521105141867,0.8113078964185246,0.8396681572749781
Consolidation,Consolidation,1815,0.6086342477072103,0.5944126299277295,0.6207196402581386
Edema,Edema,925,0.7645242399822966,0.7500089241019284,0.7793114873284205
Effusion,Pleural Effusion,4658,0.759086652389792,0.7505652777462922,0.7674566084429734
Emphysema,Emphysema,1093,0.43293224559537874,0.41523585958312637,0.4484935620905896
Fibrosis,Fibrosis,435,0.4755191918777141,0.4442418200679651,0.506384112695687
Infiltration,Infiltration,6112,0.610301923488278,0.600665152702455,0.6197967232274234
Nodule,Nodule,1623,0.44423433473665824,0.43020042964574606,0.4593414331268387
Pneumothorax,Pneumothorax,2665,0.6616041426480521,0.6498026755007891,0.6730909342649615
