label,prompt,n_positive,auc,ci_lower,ci_upper
Cardiomegaly,enlarged cardiac silhouette,1069,0.8639464366901277,0.8524249777798225,0.8761360961025655
Consolidation,a chest x-ray with Consolidation,1815,0.6128113569184028,0.5991420920460051,0.6252685190497111
Edema,a chest x-ray with pulmonary edema is present,925,0.7608038379797998,0.7460679261717895,0.7751406043551334
Effusion,a chest x-ray with Effusion,4658,0.7252761757810721,0.7159274315106962,0.7344373376235681
Emphysema,a chest x-ray with emphysematous changes,1093,0.49411585872733854,0.4768086423467657,0.5106583141889081
Fibrosis,there is reticular interstitial opacities,435,0.5125790037401663,0.4812872777037679,0.5417717002980084
Infiltration,findings consistent with infiltrate,6112,0.6039422889412667,0.5944417555641442,0.6129901126292782
Nodule,a chest x-ray with small nodular opacity,1623,0.5450838000686571,0.5282199158620835,0.5618054110818171
Pneumothorax,findings consistent with Pneumothorax,2665,0.7021425636694896,0.6905288589427324,0.7135785088008442
