label,prompt,n_positive,auc,ci_lower,ci_upper
Cardiomegaly,enlarged cardiac silhouette,1069,0.8317008319414545,0.8188588639184262,0.8449773903409951
Consolidation,a chest x-ray with Consolidation,1815,0.6198165676795706,0.6062095575182456,0.6324987820889163
Edema,a chest x-ray with pulmonary edema is present,925,0.7671355860727095,0.75227242309803,0.782212291492596
Effusion,a chest x-ray with Effusion,4658,0.7472852429993143,0.7382550254288935,0.755875346534494
Emphysema,a chest x-ray with emphysematous changes,1093,0.48453508338683093,0.46824152573988886,0.4997252292229727
Fibrosis,there is reticular interstitial opacities,435,0.5115823674944308,0.4798410318858159,0.5404330070132598
Infiltration,findings consistent with infiltrate,6112,0.5977836117017292,0.5884170485743736,0.607115063759052
Nodule,a chest x-ray with small nodular opacity,1623,0.5412436469062258,0.5245465967937984,0.5570100430828985
Pneumothorax,findings consistent with Pneumothorax,2665,0.7205240157125689,0.7094089945952559,0.7312721755616912
