checkpoint,step,mean_auc,Atelectasis,Cardiomegaly,Consolidation,Edema,Pleural Effusion
checkpoints/pt-imp/checkpoint_23500.pt,23500,0.844855110065925,0.7504000000000001,0.8322026232473994,0.875,0.8811030741410488,0.8855698529411765
checkpoints/pt-imp/checkpoint_23200.pt,23200,0.842100984133068,0.7949866666666666,0.8143374038896427,0.87890625,0.8494575045207956,0.8728170955882353
checkpoints/pt-imp/checkpoint_23400.pt,23400,0.8406092846515193,0.7442133333333334,0.8361601085481682,0.8796502976190477,0.8661844484629295,0.8768382352941176
checkpoints/pt-imp/checkpoint_18400.pt,18400,0.8338004902383191,0.7569066666666667,0.8071008593396654,0.8640252976190477,0.8652802893309222,0.8756893382352942
checkpoints/pt-imp/checkpoint_22600.pt,22600,0.8334713650899955,0.7160533333333334,0.8162596110357304,0.8664434523809523,0.8872814948764316,0.8813189338235294
checkpoints/pt-imp/checkpoint_22300.pt,22300,0.8331386915127068,0.6989866666666666,0.8362731795567616,0.8675595238095237,0.8815551537070525,0.8813189338235294
checkpoints/pt-imp/checkpoint_18600.pt,18600,0.8326262944326667,0.7814933333333334,0.7995251017639078,0.8420758928571428,0.8637733574442436,0.876263786764706
checkpoints/pt-imp/checkpoint_23100.pt,23100,0.831947961078213,0.7441066666666667,0.8126413387607417,0.8727678571428571,0.859704641350211,0.8705193014705882
checkpoints/pt-imp/checkpoint_23300.pt,23300,0.8317233249648579,0.7387733333333333,0.8237222976028946,0.8813244047619048,0.843128390596745,0.8716681985294118
checkpoints/pt-imp/checkpoint_18300.pt,18300,0.8311414641003576,0.73984,0.8072139303482587,0.8686755952380952,0.8557866184448464,0.8841911764705883
checkpoints/pt-imp/checkpoint_22700.pt,22700,0.8304285230983407,0.7042133333333334,0.8341248303934872,0.8655133928571429,0.8694996986136226,0.8787913602941176
checkpoints/pt-imp/checkpoint_23000.pt,23000,0.8294279078948653,0.7373866666666666,0.8237222976028946,0.8619791666666667,0.8554852320675106,0.8685661764705882
checkpoints/pt-imp/checkpoint_18800.pt,18800,0.8288716648137082,0.7422933333333334,0.8191994572591588,0.8621651785714286,0.8520192887281495,0.8686810661764706
checkpoints/pt-imp/checkpoint_18500.pt,18500,0.8286534235917997,0.7430399999999999,0.8074400723654456,0.83984375,0.8707052441229657,0.8822380514705883
checkpoints/pt-imp/checkpoint_22100.pt,22100,0.8280759185066776,0.7488,0.8094753505201266,0.8470982142857143,0.8600060277275468,0.8750000000000001
checkpoints/pt-imp/checkpoint_17000.pt,17000,0.8280254132055704,0.72992,0.8139981908638625,0.8681175595238095,0.8705545509342978,0.8575367647058824
checkpoints/pt-imp/checkpoint_22800.pt,22800,0.8272141445498825,0.6983466666666668,0.8275667118950703,0.8870907738095238,0.8571428571428571,0.865923713235294
checkpoints/pt-imp/checkpoint_18700.pt,18700,0.8271968613702526,0.7697066666666667,0.8054047942107644,0.8400297619047619,0.8642254370102471,0.8566176470588236
checkpoints/pt-imp/checkpoint_22400.pt,22400,0.8267164130031889,0.67072,0.8348032564450475,0.8949032738095237,0.8676913803496081,0.8654641544117647
checkpoints/pt-imp/checkpoint_15500.pt,15500,0.8266119672914837,0.7009066666666668,0.8155811849841701,0.8656994047619049,0.8639240506329114,0.8869485294117646
checkpoints/pt-imp/checkpoint_17900.pt,17900,0.8264757556419738,0.7294933333333332,0.8043871551334237,0.8828125,0.8449367088607596,0.8707490808823529
checkpoints/pt-imp/checkpoint_21800.pt,21800,0.8258017899200316,0.7208533333333335,0.8359339665309815,0.851190476190476,0.8621157323688969,0.8589154411764706
checkpoints/pt-imp/checkpoint.pt,-1,0.8252371813227309,0.6820266666666667,0.8285843509724107,0.8539806547619048,0.8732670283303194,0.888327205882353
checkpoints/pt-imp/checkpoint_5600.pt,5600,0.8249971346704097,0.7424,0.8153550429669834,0.8513764880952381,0.8509644364074744,0.8648897058823529
checkpoints/pt-imp/checkpoint_16900.pt,16900,0.8240041911435212,0.6905600000000001,0.8360470375395749,0.8735119047619048,0.8539783001808319,0.865923713235294
checkpoints/pt-imp/checkpoint_5700.pt,5700,0.8237934614791455,0.75392,0.811849841700588,0.8495163690476191,0.8321277878239904,0.8715533088235295
checkpoints/pt-imp/checkpoint_16800.pt,16800,0.8233966203751238,0.6958933333333333,0.8280189959294436,0.85546875,0.8651295961422544,0.8724724264705882
checkpoints/pt-imp/checkpoint_12800.pt,12800,0.8230976955796487,0.7285333333333334,0.8283582089552238,0.8422619047619048,0.8404159132007233,0.8759191176470588
checkpoints/pt-imp/checkpoint_21500.pt,21500,0.8230888264689934,0.69248,0.838082315694256,0.8584449404761905,0.8640747438215793,0.8623621323529411
checkpoints/pt-imp/checkpoint_11400.pt,11400,0.8225284070531111,0.7418666666666667,0.8253052917232021,0.8383556547619047,0.8306208559373116,0.8764935661764707
checkpoints/pt-imp/checkpoint_21700.pt,21700,0.8223114718940305,0.7233066666666668,0.8377996381727726,0.8381696428571428,0.8678420735382761,0.8444393382352942
checkpoints/pt-imp/checkpoint_9400.pt,9400,0.8209890329627008,0.7198933333333333,0.8113975576662146,0.8591889880952381,0.8446353224834238,0.869829963235294
checkpoints/pt-imp/checkpoint_16200.pt,16200,0.8208410269954054,0.70336,0.8324287652645861,0.8374255952380951,0.861965039180229,0.8690257352941175
checkpoints/pt-imp/checkpoint_16600.pt,16600,0.8207461676846786,0.7364266666666667,0.8144504748982361,0.8625372023809523,0.8343881856540085,0.8559283088235293
checkpoints/pt-imp/checkpoint_20400.pt,20400,0.8205329906316802,0.7281066666666667,0.8149027589326095,0.8521205357142856,0.8352923447860156,0.8722426470588235
checkpoints/pt-imp/checkpoint_14100.pt,14100,0.8201984119296938,0.7416533333333334,0.8194255992763455,0.8324032738095237,0.8298673899939721,0.877642463235294
checkpoints/pt-imp/checkpoint_19600.pt,19600,0.8201098678736638,0.7005866666666667,0.8033695160560832,0.8567708333333334,0.8628691983122363,0.876953125
checkpoints/pt-imp/checkpoint_17200.pt,17200,0.8199069566002054,0.7220266666666667,0.8043871551334238,0.8491443452380952,0.8600060277275468,0.863970588235294
checkpoints/pt-imp/checkpoint_9300.pt,9300,0.8193372971427024,0.72672,0.8154681139755767,0.8404017857142857,0.8484026522001206,0.8656939338235294
checkpoints/pt-imp/checkpoint_21900.pt,21900,0.8191875085395314,0.6778666666666667,0.8433966530981457,0.8405877976190476,0.8716094032549729,0.8624770220588235
checkpoints/pt-imp/checkpoint_18200.pt,18200,0.8190697392526494,0.7108266666666668,0.8262098597919494,0.8640252976190476,0.8351416515973478,0.8591452205882353
checkpoints/pt-imp/checkpoint_11600.pt,11600,0.8186980584344863,0.6836266666666666,0.8236092265943012,0.8599330357142858,0.8432790837854129,0.8830422794117646
checkpoints/pt-imp/checkpoint_20600.pt,20600,0.8186170190922702,0.6968533333333333,0.8353686114880144,0.855654761904762,0.8462929475587704,0.8589154411764706
checkpoints/pt-imp/checkpoint_17600.pt,17600,0.8184833872383521,0.6704,0.8400045228403438,0.8591889880952381,0.8556359252561785,0.8671875
checkpoints/pt-imp/checkpoint_19300.pt,19300,0.8179467321994107,0.6512000000000001,0.8285843509724107,0.8688616071428572,0.8604581072935504,0.8806295955882353
checkpoints/pt-imp/checkpoint_12400.pt,12400,0.8179336896921265,0.7283200000000001,0.8098145635459069,0.8195684523809523,0.8539783001808318,0.8779871323529412
checkpoints/pt-imp/checkpoint_12000.pt,12000,0.8178030558100925,0.7313066666666668,0.8098145635459069,0.8147321428571428,0.8580470162748643,0.8751148897058824
checkpoints/pt-imp/checkpoint_7400.pt,7400,0.817723637740334,0.7083733333333333,0.8154681139755766,0.8550967261904762,0.8491561181434598,0.8605238970588235
checkpoints/pt-imp/checkpoint_7200.pt,7200,0.8177223485405,0.74304,0.8014473089099956,0.8515625,0.8375527426160337,0.8550091911764706
checkpoints/pt-imp/checkpoint_16000.pt,16000,0.8176796039985728,0.6744533333333335,0.8234961555857079,0.8394717261904763,0.869198312236287,0.8817784926470589
checkpoints/pt-imp/checkpoint_16700.pt,16700,0.8173986779804189,0.6760533333333334,0.8250791497060154,0.8510044642857143,0.8690476190476191,0.8658088235294118
checkpoints/pt-imp/checkpoint_5900.pt,5900,0.8173804814833083,0.7122133333333334,0.790479421076436,0.8549107142857142,0.8577456298975286,0.8715533088235294
checkpoints/pt-imp/checkpoint_15800.pt,15800,0.8173091794070366,0.7129599999999999,0.8029172320217096,0.8452380952380952,0.8438818565400844,0.8815487132352942
checkpoints/pt-imp/checkpoint_18100.pt,18100,0.8171655489297439,0.69216,0.799638172772501,0.8699776785714286,0.8438818565400844,0.8801700367647058
