checkpoint,step,mean_auc,Atelectasis,Cardiomegaly,Consolidation,Edema,Pleural Effusion
checkpoints/pt-imp-v2/checkpoint_27000.pt,27000,0.8617340120181636,0.8078933333333334,0.846336499321574,0.8893229166666667,0.8663351416515973,0.8987821691176471
checkpoints/pt-imp-v2/checkpoint_29400.pt,29400,0.8599739506669781,0.8084266666666666,0.8502939846223428,0.890252976190476,0.8717600964436407,0.8791360294117646
checkpoints/pt-imp-v2/checkpoint_22200.pt,22200,0.8589464379516615,0.82016,0.8328810492989597,0.8770461309523809,0.885623869801085,0.8790211397058824
checkpoints/pt-imp-v2/checkpoint_26000.pt,26000,0.8586279684455091,0.7857066666666667,0.8611488014473089,0.8841145833333334,0.8824593128390597,0.8797104779411764
checkpoints/pt-imp-v2/checkpoint_32400.pt,32400,0.8525091554001888,0.7898666666666667,0.8561736770691994,0.8625372023809523,0.8735684147076551,0.8803998161764706
checkpoints/pt-imp-v2/checkpoint_18600.pt,18600,0.8512751539005095,0.7963733333333334,0.8334464043419267,0.890625,0.861965039180229,0.8739659926470589
checkpoints/pt-imp-v2/checkpoint_24000.pt,24000,0.8511878646181245,0.8305066666666667,0.8254183627317956,0.85546875,0.8435804701627486,0.9009650735294116
checkpoints/pt-imp-v2/checkpoint_31000.pt,31000,0.8509189196436179,0.7952000000000001,0.8395522388059702,0.8856026785714285,0.8461422543701024,0.8880974264705882
checkpoints/pt-imp-v2/checkpoint_38800.pt,38800,0.850766885541914,0.79296,0.8405698778833107,0.8714657738095238,0.8664858348402653,0.8823529411764707
checkpoints/pt-imp-v2/checkpoint_41400.pt,41400,0.850334069205483,0.7863466666666667,0.8557213930348259,0.8679315476190477,0.869198312236287,0.8724724264705882
checkpoints/pt-imp-v2/checkpoint_28800.pt,28800,0.8598451186267451,0.8165333333333333,0.8539122568973316,0.8824404761904763,0.8670886075949367,0.8792509191176471
checkpoints/pt-imp-v2/checkpoint_30000.pt,30000,0.8581269522663358,0.8033066666666666,0.8262098597919494,0.8829985119047619,0.8905967450271247,0.8875229779411764
checkpoints/pt-imp-v2/checkpoint_29000.pt,29000,0.8534317915880425,0.7976533333333333,0.848371777476255,0.8692336309523809,0.8735684147076551,0.8783318014705882
checkpoints/pt-imp-v2/checkpoint_22400.pt,22400,0.8532607825863648,0.82016,0.8400045228403438,0.871279761904762,0.8642254370102471,0.8706341911764707
checkpoints/pt-imp-v2/checkpoint_25800.pt,25800,0.851788266264635,0.7830400000000001,0.8498417005879692,0.8807663690476191,0.8747739602169983,0.8705193014705883
checkpoints/pt-imp-v2/checkpoint_24800.pt,24800,0.850668316745927,0.8245333333333333,0.838647670737223,0.8735119047619047,0.8330319469559976,0.8836167279411765
checkpoints/pt-imp-v2/checkpoint_21800.pt,21800,0.8506560227782394,0.8074666666666667,0.8438489371325194,0.8640252976190477,0.8655816757082581,0.8723575367647058
checkpoints/pt-imp-v2/checkpoint_23000.pt,23000,0.8500805371490643,0.8184533333333334,0.8475802804161013,0.8716517857142857,0.8276069921639542,0.8851102941176471
checkpoints/pt-imp-v2/checkpoint_14400.pt,14400,0.8499869227040945,0.7877333333333333,0.8342379014020807,0.8818824404761905,0.8780892103676914,0.8679917279411765
checkpoints/pt-imp-v2/checkpoint_23600.pt,23600,0.8497480120473666,0.7787733333333334,0.8551560379918589,0.8833705357142857,0.8556359252561784,0.8758042279411765
