=== v3 (impression+findings) started Tue Sep 15 02:15:15 PM KST 2026 ===
[1/6] regenerating text...
TEXT_DONE
[2/6] gates...
      rows v3=377,110  h5=377,110  aligned=True
      NO IMPRESSION: v2 4.4%  v3 4.4%
      median words: v2 16 -> v3 48   longer: 59.7%
[3/6] training 8 epochs Tue Sep 15 02:16:47 PM KST 2026
      train exit=0  checkpoints=236
[4/6] checkpoint selection Tue Sep 15 03:55:42 PM KST 2026
Device: cuda:0
Ground truth: 200 images x 5 labels
Positives per label: Atelectasis=75, Cardiomegaly=66, Consolidation=32, Edema=42, Pleural Effusion=64
Found 236 checkpoints
[138/236] step   27400  mean AUC 0.8339
[139/236] step   27600  mean AUC 0.8406
[140/236] step   27800  mean AUC 0.8377
[141/236] step   28000  mean AUC 0.8317
[142/236] step   28200  mean AUC 0.8471
[143/236] step   28400  mean AUC 0.8434
[144/236] step   28600  mean AUC 0.8327
[145/236] step   28800  mean AUC 0.8417
[146/236] step   29000  mean AUC 0.8412
[147/236] step   29200  mean AUC 0.8343
[148/236] step   29400  mean AUC 0.8356
[149/236] step   29600  mean AUC 0.8300
[150/236] step   29800  mean AUC 0.8305
[151/236] step   30000  mean AUC 0.8155
[152/236] step   30200  mean AUC 0.8389
[153/236] step   30400  mean AUC 0.8320
[154/236] step   30600  mean AUC 0.8377
[155/236] step   30800  mean AUC 0.8280
[156/236] step   31000  mean AUC 0.8308
[157/236] step   31200  mean AUC 0.8163
[158/236] step   31400  mean AUC 0.8381
[159/236] step   31600  mean AUC 0.8351
[160/236] step   31800  mean AUC 0.8344
[161/236] step   32000  mean AUC 0.8374
[162/236] step   32200  mean AUC 0.8517
[163/236] step   32400  mean AUC 0.8351
[164/236] step   32600  mean AUC 0.8333
[165/236] step   32800  mean AUC 0.8249
[166/236] step   33000  mean AUC 0.8282
[167/236] step   33200  mean AUC 0.8402
[168/236] step   33400  mean AUC 0.8322
[169/236] step   33600  mean AUC 0.8293
[170/236] step   33800  mean AUC 0.8436
[171/236] step   34000  mean AUC 0.8370
[172/236] step   34200  mean AUC 0.8315
[173/236] step   34400  mean AUC 0.8257
[174/236] step   34600  mean AUC 0.8229
[175/236] step   34800  mean AUC 0.8337
[176/236] step   35000  mean AUC 0.8264
[177/236] step   35200  mean AUC 0.8234
[178/236] step   35400  mean AUC 0.8335
[179/236] step   35600  mean AUC 0.8264
[180/236] step   35800  mean AUC 0.8227
[181/236] step   36000  mean AUC 0.8261
[182/236] step   36200  mean AUC 0.8324
[183/236] step   36400  mean AUC 0.8403
[184/236] step   36600  mean AUC 0.8333
[185/236] step   36800  mean AUC 0.8361
[186/236] step   37000  mean AUC 0.8333
[187/236] step   37200  mean AUC 0.8372
[188/236] step   37400  mean AUC 0.8270
[189/236] step   37600  mean AUC 0.8407
[190/236] step   37800  mean AUC 0.8268
[191/236] step   38000  mean AUC 0.8359
[192/236] step   38200  mean AUC 0.8351
[193/236] step   38400  mean AUC 0.8410
[194/236] step   38600  mean AUC 0.8342
[195/236] step   38800  mean AUC 0.8400
[196/236] step   39000  mean AUC 0.8390
[197/236] step   39200  mean AUC 0.8404
[198/236] step   39400  mean AUC 0.8289
[199/236] step   39600  mean AUC 0.8254
[200/236] step   39800  mean AUC 0.8186
[201/236] step   40000  mean AUC 0.8234
[202/236] step   40200  mean AUC 0.8307
[203/236] step   40400  mean AUC 0.8360
[204/236] step   40600  mean AUC 0.8299
[205/236] step   40800  mean AUC 0.8273
[206/236] step   41000  mean AUC 0.8248
[207/236] step   41200  mean AUC 0.8296
[208/236] step   41400  mean AUC 0.8264
[209/236] step   41600  mean AUC 0.8370
[210/236] step   41800  mean AUC 0.8424
[211/236] step   42000  mean AUC 0.8338
[212/236] step   42200  mean AUC 0.8245
